DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
281;23;24;27;37;47;0;1;6;29;586;1228;1825;27593;29488;63354;157816;428041;20555616
282;5;6;11;30;44;1;2;7;95;1546;2719;4377;61008;64612;117541;307319;882209;36471720
283;1;10;17;33;48;0;5;5;35;804;1409;1495;22560;34322;59963;118182;506436;20751542
284;3;7;12;26;34;1;8;16;58;1567;4328;2503;35081;64301;170702;181096;875345;40769486
285;11;14;24;25;29;0;2;14;39;921;2161;1712;24001;39937;86019;120486;546396;23662179
286;4;11;28;38;47;0;8;15;39;1028;3737;2062;30546;41823;142100;160589;582628;37244301
287;14;27;36;42;46;0;3;8;34;668;1405;1332;20091;29014;64176;105734;426237;23003645
288;3;8;14;31;41;0;1;5;39;1013;2361;2060;30204;48485;108924;161115;726735;35342272
289;3;15;17;28;33;1;9;11;88;1227;2306;2723;36127;48775;96074;177697;635654;25457234
290;16;19;20;25;28;0;10;10;37;1204;3182;2197;30932;52254;140689;162646;738542;38559384
291;9;34;38;43;45;0;3;6;42;605;1218;1662;24167;29624;57713;141326;446389;22302903
292;10;13;19;39;44;0;4;16;77;1205;2447;3723;56768;57162;112082;295527;852691;36346003
293;1;2;6;20;36;0;0;3;16;511;1357;1085;16514;26031;65598;88707;382435;20330453
294;2;10;22;27;28;1;3;12;79;1836;3572;4036;54497;73907;143284;270576;963795;38747024
295;12;22;30;31;44;0;7;9;48;851;1492;2095;30213;40441;70023;151739;573999;22788778
296;13;14;21;27;39;0;10;10;110;1919;3884;4769;64279;88522;174282;303007;1158179;44387522
297;4;9;10;30;40;0;3;5;48;968;1642;2281;31524;44329;77188;159941;536686;21921210
298;1;6;10;12;31;2;9;26;213;2602;4821;5979;70641;91884;163694;340129;1090287;41425458
299;3;30;42;45;49;0;2;1;33;742;1326;1631;23842;35733;66665;129809;504610;25203217
300;16;36;43;44;50;0;2;6;68;1081;1969;2742;41171;54255;98652;234828;861187;42696916
